id,Jur,MUN,NOM_MUN
1,7,001,Acacoyagua
2,1,002,Acala
3,7,003,Acapetahua
4,9,004,Altamirano
5,5,005,Amatán
6,10,006,Amatenango de la Frontera
7,2,007,Amatenango del Valle
8,4,008,Angel Albino Corzo
9,8,009,Arriaga
10,10,010,Bejucal de Ocampo
11,10,011,Bella Vista
12,1,012,Berriozábal
13,5,013,Bochil
14,5,014,El Bosque
15,7,015,Cacahoatán
16,6,016,Catazajá
17,1,017,Cintalapa
18,1,018,Coapilla
19,3,019,Comitán de Domínguez
20,4,020,La Concordia
21,1,021,Copainalá
22,2,022,Chalchihuitán
23,2,023,Chamula
24,2,024,Chanal
25,5,025,Chapultenango
26,2,026,Chenalhó
27,1,027,Chiapa de Corzo
28,1,028,Chiapilla
29,1,029,Chicoasén
30,3,030,Chicomuselo
31,9,031,Chilón
32,7,032,Escuintla
33,1,033,Francisco León
34,3,034,Frontera Comalapa
35,7,035,Frontera Hidalgo
36,10,036,La Grandeza
37,7,037,Huehuetán
38,2,038,Huixtán
39,5,039,Huitiupán
40,7,040,Huixtla
41,3,041,La Independencia
42,5,042,Ixhuatán
43,5,043,Ixtacomitán
44,1,044,Ixtapa
45,5,045,Ixtapangajoya
46,1,046,Jiquipilas
47,5,047,Jitotol
48,5,048,Juárez
49,2,049,Larráinzar
50,6,050,La Libertad
51,7,051,Mapastepec
52,3,052,Las Margaritas
53,10,053,Mazapa de Madero
54,7,054,Mazatán
55,7,055,Metapa
56,2,056,Mitontic
57,10,057,Motozintla
58,1,058,Nicolás Ruíz
59,9,059,Ocosingo
60,1,060,Ocotepec
61,1,061,Ocozocoautla de Espinosa
62,5,062,Ostuacán
63,1,063,Osumacinta
64,2,064,Oxchuc
65,6,065,Palenque
66,2,066,Pantelhó
67,5,067,Pantepec
68,5,068,Pichucalco
69,8,069,Pijijiapan
70,10,070,El Porvenir
71,7,071,Villa Comaltitlán
72,5,072,Pueblo Nuevo Solistahuacán
73,5,073,Rayón
74,5,074,Reforma
75,2,075,Las Rosas
76,6,076,Sabanilla
77,6,077,Salto de Agua
78,2,078,San Cristóbal de las Casas
79,1,079,San Fernando
80,10,080,Siltepec
81,5,081,Simojovel
82,9,082,Sitalá
83,3,083,Socoltenango
84,5,084,Solosuchiapa
85,1,085,Soyaló
86,1,086,Suchiapa
87,7,087,Suchiate
88,5,088,Sunuapa
89,7,089,Tapachula
90,5,090,Tapalapa
91,5,091,Tapilula
92,1,092,Tecpatán
93,2,093,Tenejapa
94,2,094,Teopisca
95,6,096,Tila
96,8,097,Tonalá
97,1,098,Totolapa
98,3,099,La Trinitaria
99,6,100,Tumbalá
100,1,101,Tuxtla Gutiérrez
101,7,102,Tuxtla Chico
102,7,103,Tuzantán
103,3,104,Tzimol
104,7,105,Unión Juárez
105,1,106,Venustiano Carranza
106,4,107,Villa Corzo
107,4,108,Villaflores
108,6,109,Yajalón
109,1,110,San Lucas
110,2,111,Zinacantán
111,2,112,San Juan Cancuc
112,2,113,Aldama
113,6,114,Benemérito de las Américas
114,3,115,Maravilla Tenejapa
115,6,116,Marqués de Comillas
116,4,117,Montecristo de Guerrero
117,5,118,San Andrés Duraznal
118,2,119,Santiago el Pinar
119,10,120,Capitán Luis Ángel Vidal
120,5,121,Rincón Chamula San Pedro
121,4,122,El Parral
122,1,123,Emiliano Zapata
123,1,124,Mezcalapa
124,10,125,Honduras de la Sierra
